X(a.u.) RDys_val RD*X Y(a.u.) RDys_val RD*Y Z(a.u.) RDys_val RD*Z 
-1.133836E+01 7.166816E-06 -8.125991E-05 -1.133836E+01 -8.844202E-23 1.002787E-21 -1.133836E+01 -8.844202E-23 1.002787E-21
-1.114938E+01 9.635603E-06 -1.074310E-04 -1.114938E+01 -1.209235E-22 1.348222E-21 -1.114938E+01 -1.209235E-22 1.348222E-21
-1.096041E+01 1.288319E-05 -1.412051E-04 -1.096041E+01 -1.644672E-22 1.802628E-21 -1.096041E+01 -1.644672E-22 1.802628E-21
-1.077144E+01 1.712994E-05 -1.845141E-04 -1.077144E+01 -2.225178E-22 2.396837E-21 -1.077144E+01 -2.225178E-22 2.396837E-21
-1.058247E+01 2.265016E-05 -2.396946E-04 -1.058247E+01 -2.994794E-22 3.169231E-21 -1.058247E+01 -2.994794E-22 3.169231E-21
-1.039349E+01 2.978276E-05 -3.095469E-04 -1.039349E+01 -4.009461E-22 4.167230E-21 -1.039349E+01 -4.009461E-22 4.167230E-21
-1.020452E+01 3.894322E-05 -3.973969E-04 -1.020452E+01 -5.339761E-22 5.448970E-21 -1.020452E+01 -5.339761E-22 5.448970E-21
-1.001555E+01 5.063683E-05 -5.071556E-04 -1.001555E+01 -7.074151E-22 7.085150E-21 -1.001555E+01 -7.074151E-22 7.085150E-21
-9.826575E+00 6.547317E-05 -6.433770E-04 -9.826575E+00 -9.322743E-22 9.161063E-21 -9.826575E+00 -9.322743E-22 9.161063E-21
-9.637603E+00 8.418144E-05 -8.113073E-04 -9.637603E+00 -1.222165E-21 1.177874E-20 -9.637603E+00 -1.222165E-21 1.177874E-20
-9.448630E+00 1.076265E-04 -1.016923E-03 -9.448630E+00 -1.593796E-21 1.505919E-20 -9.448630E+00 -1.593796E-21 1.505919E-20
-9.259657E+00 1.368249E-04 -1.266951E-03 -9.259657E+00 -2.067534E-21 1.914466E-20 -9.259657E+00 -2.067534E-21 1.914466E-20
-9.070685E+00 1.729605E-04 -1.568870E-03 -9.070685E+00 -2.668022E-21 2.420079E-20 -9.070685E+00 -2.668022E-21 2.420079E-20
-8.881712E+00 2.173989E-04 -1.930875E-03 -8.881712E+00 -3.424863E-21 3.041865E-20 -8.881712E+00 -3.424863E-21 3.041865E-20
-8.692740E+00 2.716993E-04 -2.361811E-03 -8.692740E+00 -4.373351E-21 3.801640E-20 -8.692740E+00 -4.373351E-21 3.801640E-20
-8.503767E+00 3.376230E-04 -2.871067E-03 -8.503767E+00 -5.555245E-21 4.724051E-20 -8.503767E+00 -5.555245E-21 4.724051E-20
-8.314794E+00 4.171378E-04 -3.468415E-03 -8.314794E+00 -7.019571E-21 5.836629E-20 -8.314794E+00 -7.019571E-21 5.836629E-20
-8.125822E+00 5.124159E-04 -4.163800E-03 -8.125822E+00 -8.823437E-21 7.169768E-20 -8.125822E+00 -8.823437E-21 7.169768E-20
-7.936849E+00 6.258247E-04 -4.967076E-03 -7.936849E+00 -1.103283E-20 8.756594E-20 -7.936849E+00 -1.103283E-20 8.756594E-20
-7.747877E+00 7.599103E-04 -5.887692E-03 -7.747877E+00 -1.372342E-20 1.063273E-19 -7.747877E+00 -1.372342E-20 1.063273E-19
-7.558904E+00 9.173724E-04 -6.934330E-03 -7.558904E+00 -1.698124E-20 1.283596E-19 -7.558904E+00 -1.698124E-20 1.283596E-19
-7.369931E+00 1.101031E-03 -8.114525E-03 -7.369931E+00 -2.090349E-20 1.540573E-19 -7.369931E+00 -2.090349E-20 1.540573E-19
-7.180959E+00 1.313791E-03 -9.434278E-03 -7.180959E+00 -2.559920E-20 1.838268E-19 -7.180959E+00 -2.559920E-20 1.838268E-19
