Energy=0.100000 eV
theta,rad   sq_contrib(lm)   cross_contrib(lml’m)   total_PAD
      0.000000      2.956786E-01     -4.267875E-02      2.529998E-01
      0.031416      2.956774E-01     -4.261559E-02      2.530619E-01
      0.062832      2.956740E-01     -4.242635E-02      2.532477E-01
      0.094248      2.956683E-01     -4.211178E-02      2.535565E-01
      0.125664      2.956603E-01     -4.167312E-02      2.539872E-01
      0.157080      2.956502E-01     -4.111211E-02      2.545381E-01
      0.188496      2.956378E-01     -4.043096E-02      2.552069E-01
      0.219911      2.956233E-01     -3.963235E-02      2.559910E-01
      0.251327      2.956068E-01     -3.871944E-02      2.568874E-01
      0.282743      2.955882E-01     -3.769583E-02      2.578924E-01
      0.314159      2.955677E-01     -3.656556E-02      2.590022E-01
      0.345575      2.955454E-01     -3.533309E-02      2.602123E-01
      0.376991      2.955213E-01     -3.400329E-02      2.615180E-01
      0.408407      2.954955E-01     -3.258140E-02      2.629141E-01
      0.439823      2.954682E-01     -3.107303E-02      2.643951E-01
      0.471239      2.954393E-01     -2.948414E-02      2.659552E-01
      0.502655      2.954092E-01     -2.782100E-02      2.675882E-01
      0.534071      2.953778E-01     -2.609017E-02      2.692876E-01
      0.565487      2.953453E-01     -2.429848E-02      2.710468E-01
      0.596903      2.953119E-01     -2.245301E-02      2.728589E-01
      0.628319      2.952776E-01     -2.056103E-02      2.747165E-01
      0.659734      2.952426E-01     -1.863002E-02      2.766125E-01
      0.691150      2.952070E-01     -1.666759E-02      2.785394E-01
      0.722566      2.951710E-01     -1.468149E-02      2.804895E-01
      0.753982      2.951347E-01     -1.267955E-02      2.824551E-01
      0.785398      2.950982E-01     -1.066969E-02      2.844285E-01
      0.816814      2.950618E-01     -8.659821E-03      2.864020E-01
      0.848230      2.950255E-01     -6.657888E-03      2.883676E-01
      0.879646      2.949895E-01     -4.671787E-03      2.903177E-01
      0.911062      2.949539E-01     -2.709357E-03      2.922445E-01
      0.942478      2.949189E-01     -7.783432E-04      2.941405E-01
      0.973894      2.948846E-01      1.113634E-03      2.959982E-01
      1.005310      2.948511E-01      2.959108E-03      2.978102E-01
      1.036726      2.948186E-01      4.750796E-03      2.995694E-01
      1.068142      2.947872E-01      6.481626E-03      3.012689E-01
      1.099557      2.947571E-01      8.144767E-03      3.029019E-01
      1.130973      2.947283E-01      9.733656E-03      3.044619E-01
      1.162389      2.947009E-01      1.124202E-02      3.059430E-01
